Artist,Title,URL
Bob Moore,Mexico,https://en.wikipedia.org/wiki/Mexico_(instrumental)
Ral Donner,You Don't Know What You've Got (Until You Lose It),https://en.wikipedia.org/wiki/You_Don%27t_Know_What_You%27ve_Got
The Lettermen,The Way You Look Tonight,https://en.wikipedia.org/wiki/The_Way_You_Look_Tonight
The Lettermen,Goin' Out Of My Head / Can't Take My Eyes Off You,https://en.wikipedia.org/wiki/Can%27t_Take_My_Eyes_Off_You
The Lettermen,Hurt So Bad,https://en.wikipedia.org/wiki/Hurt_So_Bad
Pat Boone,Moody River,https://en.wikipedia.org/wiki/Moody_River
Pat Boone,Speedy Gonzales,https://en.wikipedia.org/wiki/Speedy_Gonzales
Adam Wade,Take Good Care Of Her,https://en.wikipedia.org/wiki/Take_Good_Care_of_Her
Adam Wade,The Writing On The Wall,https://en.wikipedia.org/wiki/The_Writing_on_the_Wall_(Adam_Wade_song)
Carla Thomas,Gee Whiz (Look At His Eyes),
Carla Thomas,B-A-B-Y,https://en.wikipedia.org/wiki/B-A-B-Y
Ben E. King,Stand By Me,https://en.wikipedia.org/wiki/Stand_by_Me_(song)
Ben E. King,Spanish Harlem,https://en.wikipedia.org/wiki/Spanish_Harlem_(song)
Ike and Tina Turner,It's Gonna Work Out Fine,https://en.wikipedia.org/wiki/It%27s_Gonna_Work_Out_Fine
The Echoes,Baby Blue,https://en.wikipedia.org/wiki/Baby_blue
Buzz Clifford,Baby Sittin' Boogie,https://en.wikipedia.org/wiki/Baby_Sittin%27_Boogie
Little Caesar and The Romans,Those Oldies But Goodies,
Bert Kaempfert,Wonderland By Night,https://en.wikipedia.org/wiki/Wonderland_by_Night
Bert Kaempfert,Red Roses for a Blue Lady,https://en.wikipedia.org/wiki/Red_Roses_for_a_Blue_Lady
Tony Orlando,Bless You,
Rosie and The Originals,Angel Baby,https://en.wikipedia.org/wiki/Angel_Baby_(Rosie_and_the_Originals_song)
Curtis Lee,Pretty Little Angel Eyes,https://en.wikipedia.org/wiki/Pretty_Little_Angel_Eyes
Lonnie Donegan,Does Your Chewing Gum Lose Its Flavour (On The Bedpost Overnight),https://en.wikipedia.org/wiki/Does_Your_Chewing_Gum_Lose_Its_Flavour_(On_the_Bedpost_Overnight%3F)
Matt Monro,My Kind Of Girl,https://en.wikipedia.org/wiki/My_Kind_of_Girl
Jimmy Dean,Big Bad John,https://en.wikipedia.org/wiki/Big_Bad_John
Jimmy Dean,P.T. 109,https://en.wikipedia.org/wiki/PT-109_(song)
Eddie Hodges,I'm Gonna Knock On Your Door,https://en.wikipedia.org/wiki/I%27m_Gonna_Knock_on_Your_Door
Eddie Hodges,"(Girls, Girls, Girls) Made To Love",
Dave Brubeck,Take Five,https://en.wikipedia.org/wiki/Take_Five
Don Gibson,Sea Of Heartbreak,https://en.wikipedia.org/wiki/Sea_of_Heartbreak
Acker Bilk,Stranger On The Shore,https://en.wikipedia.org/wiki/Stranger_on_the_Shore
Dee Dee Sharp,Mashed Potato Time,https://en.wikipedia.org/wiki/Mashed_Potato_Time
Dee Dee Sharp,Gravy (For My Mashed Potatoes),
Dee Dee Sharp,Do the Bird,
Bobby Vinton,Roses Are Red (My Love),https://en.wikipedia.org/wiki/Roses_Are_Red_(My_Love)
Bobby Vinton,Blue Velvet,https://en.wikipedia.org/wiki/Blue_Velvet_(song)
Bobby Vinton,Blue on Blue,https://en.wikipedia.org/wiki/Blue_on_Blue_(Bobby_Vinton_album)
Bobby Vinton,There! I've Said It Again,https://en.wikipedia.org/wiki/There!_I%27ve_Said_It_Again
Bobby Vinton,Please Love Me Forever,https://en.wikipedia.org/wiki/Please_Love_Me_Forever
David Rose,The Stripper,https://en.wikipedia.org/wiki/The_Stripper
Shelley Fabares,Johnny Angel,https://en.wikipedia.org/wiki/Johnny_Angel
Little Eva,The Loco-Motion,https://en.wikipedia.org/wiki/The_Loco-Motion
The Sensations,Let Me In,https://en.wikipedia.org/wiki/Let_Me_In_(The_Sensations_song)
Bruce Channel,Hey! Baby,https://en.wikipedia.org/wiki/Hey!_Baby
Gene Chandler,Duke Of Earl,https://en.wikipedia.org/wiki/Duke_of_Earl
Freddy Cannon,Palisades Park,https://en.wikipedia.org/wiki/Palisades_Park_(Freddy_Cannon_song)
Claude King,Wolverton Mountain,https://en.wikipedia.org/wiki/Wolverton_Mountain
Mary Wells,The One Who Really Loves You,https://en.wikipedia.org/wiki/The_One_Who_Really_Loves_You
Mary Wells,You Beat Me To The Punch,https://en.wikipedia.org/wiki/You_Beat_Me_to_the_Punch
Mary Wells,My Guy,https://en.wikipedia.org/wiki/My_Guy
Kenny Ball,Midnight In Moscow,
Tommy Roe,Sheila,https://en.wikipedia.org/wiki/Sheila_(Tommy_Roe_song)
Tommy Roe,Everybody,https://en.wikipedia.org/wiki/Everybody_(Tommy_Roe_song)
Tommy Roe,Hooray for Hazel,https://en.wikipedia.org/wiki/Hooray_for_Hazel
Tommy Roe,Sweet Pea,https://en.wikipedia.org/wiki/Sweet_Pea_(song)
Tommy Roe,Dizzy,https://en.wikipedia.org/wiki/Dizzy_(Tommy_Roe_song)
The Orlons,The Wah-Watusi,
The Orlons,South Street,
Joey Dee and The Starliters,Peppermint Twist,https://en.wikipedia.org/wiki/Peppermint_Twist
Joey Dee and The Starliters,Shout,https://en.wikipedia.org/wiki/Shout_(The_Isley_Brothers_song)
The Marvelettes,Playboy,https://en.wikipedia.org/wiki/Playboy_(The_Marvelettes_album)
Nat King Cole,Ramblin' Rose,https://en.wikipedia.org/wiki/Ramblin%27_Rose
