Year,Awards,Title,Artist
2006,Best Rap/Sung Collaboration,My Love,Justin Timberlake
2006,Best Rap Song,Money Maker,Ludacris
2006,Best Female Country Vocal Performance,"Jesus, Take The Wheel",Carrie Underwood
2006,Best Male Country Vocal Performance,The Reason Why,Vince Gill
2006,Best Country Performance By A Duo Or Group With Vocal,Not Ready To Make Nice,Dixie Chicks
2006,Best Country Collaboration With Vocals,Who Says You Can't Go Home,Bon Jovi
2006,Best Country Instrumental Performance,Whiskey Before Breakfast,Bryan Sutton
2006,Best Country Song,"Jesus, Take The Wheel",Brett James
2006,Best Jazz Instrumental Solo,Some Skunk Funk,Michael Brecker
2006,Best Gospel Performance,Victory,Yolanda Adams
2006,Best Gospel Song,Imagine Me,Kirk Franklin
2006,"Best Song Written For Motion Picture, Television Or Other Visual Media",Our Town (From Cars),Randy Newman
2006,Best Instrumental Composition,A Prayer For Peace,John Williams
2006,Best Instrumental Arrangement,Three Ghouls,Chick Corea
2006,Best Instrumental Arrangement Accompanying Vocalist(s),For Once In My Life,Jorge Calandrelli
2006,"Best Remixed Recording, Non-Classical",Talk (Thin White Duke Mix),Jacques Lu Cont
2006,Best Orchestral Performance,Mahler: Symphony No. 7,Michael Tilson Thomas
2006,Best Opera Recording,Golijov: Ainadamar: Fountain Of Tears,Robert Spano
2006,Best Choral Performance,Pärt: Da Pacem,Paul Hillier
2006,Best Instrumental Soloist(s) Performance (with Orchestra),Messiaen: Oiseaux Exotiques (Exotic Birds),John McLaughlin Williams
2006,Best Instrumental Soloist Performance (without Orchestra),Chopin: Nocturnes,Maurizio Pollini
2006,Best Chamber Music Performance,Intimate Voices,Emerson String Quartet
2006,Best Small Ensemble Performance,Padilla: Sun Of Justice,Peter Rutenberg
2006,Best Classical Vocal Performance,Rilke Songs,Lorraine Hunt Lieberson
2006,Best Classical Contemporary Composition,Golijov: Ainadamar: Fountain Of Tears,Osvaldo Golijov
2005,Record Of The Year,Boulevard Of Broken Dreams,Green Day
2005,Song Of The Year,Sometimes You Can't Make It On Your Own,U2
2005,Best Female Pop Vocal Performance,Since U Been Gone,Kelly Clarkson
2005,Best Male Pop Vocal Performance,From The Bottom Of My Heart,Stevie Wonder
2005,Best Pop Performance By A Duo Or Group With Vocal,This Love,Maroon 5
2005,Best Pop Collaboration With Vocals,Feel Good Inc.,De La Soul
2005,Best Pop Instrumental Performance,Caravan,Les Paul
2005,Best Dance Recording,Galvanize,Kamal Fareed
2005,Best Solo Rock Vocal Performance,Devils & Dust,Bruce Springsteen
2005,Best Rock Performance By A Duo Or Group With Vocal,Sometimes You Can't Make It On Your Own,U2
2005,Best Hard Rock Performance,B.Y.O.B.,System Of A Down
2005,Best Metal Performance,Before I Forget,Slipknot
2005,Best Rock Instrumental Performance,69 Freedom Special,Les Paul
2005,Best Rock Song,City Of Blinding Lights,U2
2005,Best Female R&B Vocal Performance,We Belong Together,Mariah Carey
2005,Best Male R&B Vocal Performance,Ordinary People,John Legend
2005,Best R&B Performance By A Duo Or Group With Vocals,So Amazing,Beyoncé Knowles
2005,Best Traditional R&B Vocal Performance,A House Is Not A Home,Aretha Franklin
2005,Best Urban/Alternative Performance,Welcome To Jamrock,Damian Marley
2005,Best R&B Song,We Belong Together,Jermaine Dupri
2005,Best Rap Solo Performance,Gold Digger,Kanye West
2005,Best Rap Performance By A Duo Or Group,Don't Phunk With My Heart,The Black Eyed Peas
2005,Best Rap/Sung Collaboration,Numb/Encore,Linkin Park
2005,Best Rap Song,Diamonds From Sierra Leone,DeVon Harris
2005,Best Female Country Vocal Performance,The Connection,Emmylou Harris
2005,Best Male Country Vocal Performance,You'll Think Of Me,Keith Urban
2005,Best Country Performance By A Duo Or Group With Vocal,Restless,Alison Krauss + Union Station
2005,Best Country Collaboration With Vocals,Like We Never Loved At All,Faith Hill
2005,Best Country Instrumental Performance,Unionhouse Branch,Alison Krauss + Union Station
2005,Best Country Song,Bless The Broken Road,Bobby Boyd
2005,Best Jazz Instrumental Solo,Why Was I Born?,Sonny Rollins
2005,Best Gospel Performance,Pray,CeCe Winans
2005,Best Gospel Song,Be Blessed,James Harris III
2005,"Best Song Written For Motion Picture, Television Or Other Visual Media",Believe (From The Polar Express),Alan Silvestri
2005,Best Instrumental Composition,Into The Light,Billy Childs
2005,Best Instrumental Arrangement,The Incredits,Gordon L. Goodwin
2005,Best Instrumental Arrangement Accompanying Vocalist(s),What Are You Doing The Rest Of Your Life?,Billy Childs
2005,"Best Remixed Recording, Non-Classical",Superfly (Louie Vega EOL Mix),Louie Vega
2005,Best Orchestral Performance,Shostakovich: Sym. No. 13,Mariss Jansons
2005,Best Opera Recording,Verdi: Falstaff,Colin Davis
2005,Best Choral Performance,Bolcom: Songs Of Innocence And Of Experience,Carole Ott
2005,Best Instrumental Soloist(s) Performance (with Orchestra),Beethoven: Piano Cons. Nos. 2 & 3,Claudio Abbado
2005,Best Instrumental Soloist Performance (without Orchestra),"Scriabin, Medtner, Stravinsky",Evgeny Kissin
2005,Best Chamber Music Performance,Mendelssohn: The Complete String Quartets,Emerson String Quartet
2005,Best Small Ensemble Performance (with or without Conductor),"Boulez: Le Marteau Sans Maître, Dérive 1 & 2",Hilary Summers
2005,Best Classical Vocal Performance,Bach: Cantatas,Thomas Quasthoff
2005,Best Classical Contemporary Composition,Bolcom: Songs Of Innocence And Of Experience,William Bolcom
2004,Record Of The Year,Here We Go Again,Norah Jones
2004,Song Of The Year,Daughters,John Mayer
2004,Best Female Pop Vocal Performance,Sunrise,Norah Jones
2004,Best Male Pop Vocal Performance,Daughters,John Mayer
2004,Best Pop Performance By A Duo Or Group With Vocal,Heaven,Los Lonely Boys
2004,Best Pop Collaboration With Vocals,Here We Go Again,Norah Jones
2004,Best Pop Instrumental Performance,11th Commandment,Ben Harper
2004,Best Dance Recording,Toxic,Britney Spears
2004,Best Solo Rock Vocal Performance,Code Of Silence,Bruce Springsteen
2004,Best Rock Performance By A Duo Or Group With Vocal,Vertigo,U2
2004,Best Hard Rock Performance,Slither,Velvet Revolver
2004,Best Metal Performance,Whiplash,Motorhead
2004,Best Rock Instrumental Performance,Mrs. O'Leary's Cow,Brian Wilson
2004,Best Rock Song,Vertigo,U2
2004,Best Female R&B Vocal Performance,If I Ain't Got You,Alicia Keys
2004,Best Male R&B Vocal Performance,Call My Name,Prince
2004,Best R&B Performance By A Duo Or Group With Vocals,My Boo,Alicia Keys
2004,Best Traditional R&B Vocal Performance,Musicology,Prince
2004,Best Urban/Alternative Performance,Cross My Mind,Jill Scott
2004,Best R&B Song,You Don't Know My Name,Alicia Keys
2004,Best Rap Solo Performance,99 Problems,Jay-Z
2004,Best Rap Performance By A Duo Or Group,Let's Get It Started,The Black Eyed Peas
2004,Best Rap/Sung Collaboration,Yeah!,Lil Jon
2004,Best Rap Song,Jesus Walks,Che Smith
2004,Best Female Country Vocal Performance,Redneck Woman,Gretchen Wilson
2004,Best Male Country Vocal Performance,Live Like You Were Dying,Tim McGraw
2004,Best Country Performance By A Duo Or Group With Vocal,Top Of The World,Dixie Chicks
2004,Best Country Collaboration With Vocals,Portland Oregon,Jack White
2004,Best Country Instrumental Performance,Earl's Breakdown,Earl Scruggs
2004,Best Country Song,Live Like You Were Dying,Craig Wiseman
2004,Best Jazz Instrumental Solo,Speak Like A Child,Herbie Hancock
2004,Best Gospel Performance,Heaven Help Us All,Gladys Knight
2004,"Best Song Written For A Motion Picture, Television Or Other Visual Media",Into The West (From The Lord Of The Rings - The Return Of The King),Annie Lennox
2004,Best Instrumental Composition,Merengue,Paquito D'Rivera
2004,Best Instrumental Arrangement,Past Present & Future,Slide Hampton
2004,Best Instrumental Arrangement Accompanying Vocalist(s),Over The Rainbow,Victor Vanacore
2004,"Best Remixed Recording, Non-Classical",It's My Life (Jacques Lu Cont's Thin White Duke Mix),Jacques Lu Cont
2004,Best Orchestral Performance,Adams: On The Transmigration Of Souls,Lorin Maazel
2004,Best Opera Recording,Mozart: Le Nozze Di Figaro,René Jacobs
2004,Best Choral Performance,Berlioz: Requiem,Norman Mackenzie
2004,Best Instrumental Soloist(s) Performance (with Orchestra),"Previn: Violin Concerto ""Anne-Sophie""/Bernstein: Serenade",André Previn
2004,Best Instrumental Soloist Performance (without Orchestra),"Aire Latino (Morel, Villa-Lobos, Ponce, Etc.)",David Russell
2004,Best Chamber Music Performance,Prokofiev (Arr. Pletnev): Cinderella - Suite For Two Pianos/Ravel: Ma Mère L'Oye,Martha Argerich
2004,Best Small Ensemble Performance (with or without Conductor),"Carlos Chávez - Complete Chamber Music, Vol. 2",Southwest Chamber Music
2004,Best Classical Vocal Performance,"Ives: Songs (The Things Our Fathers Loved; The Housatonic At Stockbridge, Etc.)",Susan Graham
2004,Best Classical Contemporary Composition,Adams: On The Transmigration Of Souls,John Adams
2003,Record Of The Year,Clocks,Coldplay
2003,Song Of The Year,Dance With My Father,Luther Vandross
2003,Best Female Pop Vocal Performance,Beautiful,Christina Aguilera
2003,Best Male Pop Vocal Performance,Cry Me A River,Justin Timberlake
2003,Best Pop Performance By A Duo Or Group With Vocal,Underneath It All,No Doubt
2003,Best Pop Collaboration With Vocals,Whenever I Say Your Name,Mary J. Blige
2003,Best Pop Instrumental Performance,Marwa Blues,George Harrison
2003,Best Dance Recording,Come Into My World,Kylie Minogue
2003,Best Female Rock Vocal Performance,Trouble,Pink
2003,Best Male Rock Vocal Performance,Gravedigger,Dave Matthews
2003,Best Rock Performance By A Duo Or Group With Vocal,Disorder In The House,Bruce Springsteen
2003,Best Hard Rock Performance,Bring Me To Life,Evanescence
2003,Best Metal Performance,St. Anger,Metallica
2003,Best Rock Instrumental Performance,Plan B,Jeff Beck 
2003,Best Rock Song,Seven Nation Army,Jack White
2003,Best Female R&B Vocal Performance,Dangerously In Love 2,Beyoncé Knowles
2003,Best Male R&B Vocal Performance,Dance With My Father,Luther Vandross
2003,Best R&B Performance By A Duo Or Group With Vocals,The Closer I Get To You,Beyoncé Knowles
2003,Best Traditional R&B Vocal Performance,Wonderful,Aretha Franklin
2003,Best Urban/Alternative Performance,Hey Ya!,OutKast
2003,Best R&B Song,Crazy In Love,Beyoncé Knowles
2003,Best Female Rap Solo Performance,Work It,Missy Elliott
2003,Best Male Rap Solo Performance,Lose Yourself,Eminem
2003,Best Rap Performance By A Duo Or Group,Shake Ya Tailfeather,Murphy Lee
2003,Best Rap/Sung Collaboration,Crazy In Love,Beyoncé Knowles
2003,Best Rap Song,Lose Yourself,Eminem
2003,Best Female Country Vocal Performance,Keep On The Sunny Side,June Carter Cash
2003,Best Male Country Vocal Performance,Next Big Thing,Vince Gill
2003,Best Country Performance By A Duo Or Group With Vocal,A Simple Life,Ricky Skaggs And Kentucky Thunder
2003,Best Country Collaboration With Vocals,How's The World Treating You,Alison Krauss
2003,Best Country Instrumental Performance,Cluck Old Hen,Alison Krauss
2003,Best Country Song,It's Five O'Clock Somewhere,Don Rollins
2003,Best Jazz Instrumental Solo,Matrix,Chick Corea
2003,"Best Song Written For A Motion Picture, Television Or Other Visual Media",A Mighty Wind (From A Mighty Wind),Christopher Guest
2003,Best Instrumental Composition,Sacajawea,Wayne Shorter
2003,Best Instrumental Arrangement,Timbuktu,Gil Goldstein
2003,Best Instrumental Arrangement Accompanying Vocalist(s),Woodstock,Vincent Mendoza
2003,"Best Remixed Recording, Non-Classical",Crazy In Love (Maurice's Soul Mix),Maurice Joshua
2003,Best Orchestral Performance,Mahler: Symphony No. 3,Pierre Boulez
2003,Best Opera Recording,Janácek: Jenufa,Bernard Haitink
2003,Best Choral Performance,Sibelius: Cantatas,Ants Soots
2003,Best Instrumental Soloist(s) Performance (with Orchestra),Britten: Violin Concerto/Walton: Viola Concerto,Mstislav Rostropovich
2003,Best Instrumental Soloist Performance (without Orchestra),"Haydn: Piano Sonatas Nos. 29, 31, 34, 35 & 49",Emanuel Ax
2003,Best Chamber Music Performance,Berg: Lyric Suite,Dawn Upshaw
2003,Best Small Ensemble Performance (with or without Conductor),Chávez: Suite For Double Quartet,Jeff Von Der Schmidt
2003,Best Classical Vocal Performance,Schubert: Lieder With Orchestra,Anne Sofie von Otter
2003,Best Classical Contemporary Composition,Argento: Casa Guidi,Dominick Argento
2002,Record Of The Year,Don't Know Why,Norah Jones
2002,Song Of The Year,Don't Know Why,Jesse Harris
2002,Best Female Pop Vocal Performance,Don't Know Why,Norah Jones
2002,Best Male Pop Vocal Performance,Your Body Is A Wonderland,John Mayer
2002,Best Pop Performance By A Duo Or Group With Vocal,Hey Baby,No Doubt
2002,Best Pop Collaboration With Vocals,The Game Of Love,Carlos Santana
2002,Best Pop Instrumental Performance,Auld Lang Syne,B.B. King
2002,Best Dance Recording,Days Go By,Dirty Vegas
2002,Best Female Rock Vocal Performance,Steve McQueen,Sheryl Crow
2002,Best Male Rock Vocal Performance,The Rising,Bruce Springsteen
2002,Best Rock Performance By A Duo Or Group With Vocal,In My Place,Coldplay
2002,Best Hard Rock Performance,All My Life,Foo Fighters
2002,Best Metal Performance,Here To Stay,Korn
2002,Best Rock Instrumental Performance,Approaching Pavonis Mons By Balloon (Utopia Planitia),The Flaming Lips
2002,Best Rock Song,The Rising,Bruce Springsteen
2002,Best Female R&B Vocal Performance,He Think I Don't Know,Mary J. Blige
2002,Best Male R&B Vocal Performance,U Don't Have To Call,Usher
2002,Best R&B Performance By A Duo Or Group With Vocal,Love's In Need Of Love Today,Stevie Wonder
2002,Best Traditional R&B Vocal Performance,What's Going On,Chaka Khan
2002,Best Urban/Alternative Performance,Little Things,India.Arie
2002,Best R&B Song,Love Of My Life (An Ode To Hip Hop),Erykah Badu
2002,Best Female Rap Solo Performance,Scream a.k.a. Itchin',Missy Elliott
2002,Best Male Rap Solo Performance,Hot In Herre,Nelly
2002,Best Rap Performance By A Duo Or Group,The Whole World,Killer Mike
2002,Best Rap/Sung Collaboration,Dilemma,Kelendria Rowland
2002,Best Female Country Vocal Performance,Cry,Faith Hill
2002,Best Male Country Vocal Performance,Give My Love To Rose,Johnny Cash
2002,Best Country Performance By A Duo Or Group With Vocal,Long Time Gone,Dixie Chicks
2002,Best Country Collaboration With Vocals,Mendocino County Line,Lee Ann Womack
2002,Best Country Instrumental Performance,Lil' Jack Slade,Dixie Chicks
2002,Best Country Song,Where Were You (When The World Stopped Turning),Alan Jackson
2002,Best Jazz Instrumental Solo,My Ship,Herbie Hancock
2002,"Best Song Written For A Motion Picture, Television Or Other Visual Media","If I Didn't Have You (From Monsters, Inc.)",Randy Newman
2002,Best Instrumental Composition,Six Feet Under Title Theme,Thomas Newman
2002,Best Instrumental Arrangement,Six Feet Under Title Theme,Thomas Newman
2002,Best Instrumental Arrangement Accompanying Vocalist(s),Mean Old Man,Dave Grusin
2002,"Best Remixed Recording, Non-Classical",Hella Good (Roger Sanchez Remix Main),Roger Sanchez
2002,Best Orchestral Performance,Mahler: Symphony No. 6,Michael Tilson Thomas
2002,Best Opera Recording,Wagner: Tannhäuser,Jane Eaglen
2002,Best Choral Performance,Vaughan Williams: A Sea Symphony (Sym. No. 1),Norman Mackenzie
2002,Best Instrumental Soloist(s) Performance (with Orchestra),Brahms/Stravinsky: Violin Concertos,Hilary Hahn
2002,Best Instrumental Soloist Performance (without Orchestra),"Chopin: Études, Op. 10 & Op. 25",Murray Perahia
2002,Best Chamber Music Performance,"Beethoven: String Quartets (""Razumovsky"" Op. 59, 1-3; ""Harp"" Op. 74)",Takács Quartet
2002,Best Small Ensemble Performance (with or without Conductor),Tavener: Lamentations & Praises,Chanticleer
2002,Best Classical Vocal Performance,"Bel Canto - Bellini, Donizetti & Rossini",Renée Fleming
2002,Best Classical Contemporary Composition,Tavener: Lamentations & Praises,John Tavener
2001,Record Of The Year,Walk On,U2
2001,Song Of The Year,Fallin',Alicia Keys
2001,Best Female Pop Vocal Performance,I'm Like A Bird,Nelly Furtado
2001,Best Male Pop Vocal Performance,Don't Let Me Be Lonely Tonight,James Taylor
2001,Best Pop Performance By A Duo Or Group With Vocal,Stuck In A Moment You Can't Get Out Of,U2
2001,Best Pop Collaboration With Vocals,Lady Marmalade,Christina Aguilera
2001,Best Pop Instrumental Performance,Reptile,Eric Clapton
2001,Best Dance Recording,All For You,Janet Jackson
2001,Best Female Rock Vocal Performance,Get Right With God,Lucinda Williams
2001,Best Male Rock Vocal Performance,Dig In,Lenny Kravitz
2001,Best Rock Performance By A Duo Or Group With Vocal,Elevation,U2
2001,Best Hard Rock Performance,Crawling,Linkin Park
2001,Best Metal Performance,Schism,Tool
2001,Best Rock Instrumental Performance,Dirty Mind,Jeff Beck 
2001,Best Rock Song,Drops Of Jupiter,Charlie Colin
2001,Best Female R&B Vocal Performance,Fallin',Alicia Keys
2001,Best Male R&B Vocal Performance,U Remind Me,Usher
2001,Best R&B Performance By A Duo Or Group With Vocal,Survivor,Destiny's Child
2001,Best R&B Song,Fallin',Alicia Keys
2001,Best Rap Solo Performance,Get Ur Freak On,Missy Elliott
2001,Best Rap Performance By A Duo Or Group,Ms. Jackson,OutKast
2001,Best Rap/Sung Collaboration,Let Me Blow Ya Mind,Eve
2001,Best Female Country Vocal Performance,Shine,Dolly Parton
2001,Best Male Country Vocal Performance,O Death,Ralph Stanley
2001,Best Country Performance By A Duo Or Group With Vocal,The Lucky One,Alison Krauss
