Rank,RankPowerlaw,Artist,Title,Year,SpotifyPlayCount,WikiWordCount,Followers,Popularity,GenreRaw,Tar-Pre
11,20.54380234,Lawrence Welk,Calcutta,1961,220024,3370,3324,44,easy listening,-0.6929760828862488
14,17.52086311,The Shirelles,Dedicated To The One I Love,1961,1401322,2186,51834,59,"pop, soul",0.1280044123812818
16,16.04282372,The Shirelles,Will You Love Me Tomorrow,1961,10966476,2186,51834,59,r&b,2.185431318536912
81,5.500471104,The Shirelles,Mama Said,1961,18984141,2186,51834,59,,2.734192282016158
10,21.87761624,The Shirelles,Soldier Boy,1962,623778,2186,51834,59,r&b,-0.8071550886646133
44,8.228510611,The Shirelles,Baby It's You,1962,1378449,2186,51834,59,,-0.01423539145851116
57,6.9362157810000005,The Shirelles,Foolish Little Girl,1963,404775,2186,51834,59,"r&b, pop, soul",-1.3654009484528888
15,16.74093727,The Mar-Keys,Last Night,1961,1118216,1102,5742,36,"r&b, instrumental rock",1.491765224334305
20,13.84586851,Sue Thompson,Sad Movies (Make Me Cry),1961,414305,547,2313,36,"pop, easy listening",0.5681004278936523
33,9.949031357,Sue Thompson,Norman,1962,206139,547,2313,36,,-0.2557339722647658
21,13.40711287,Ernie K-Doe,Mother-In-Law,1961,442939,811,1893,33,,0.8550157677535299
22,13.00172664,The Dovells,Bristol Stomp,1961,310096,591,1286,29,doo-wop,0.7661616199767494
31,10.36815025,The Dovells,You Can't Sit Down,1963,70658,591,1286,29,,-0.9644343322548963
24,12.27610461,The Miracles,Shop Around,1961,8287327,5611,239780,63,soul,1.5385515715818006
65,6.360293906,The Miracles,You've Really Got a Hold on Me,1963,3940869,5611,239780,63,soul,0.5436599862185787
85,5.328236693,The Miracles,Mickey's Monkey,1963,218185,5611,239780,63,"soul, pop",-2.3501532233649485
78,5.63920084,The Miracles,The Tracks of My Tears,1965,28463187,5611,239780,63,soul,2.269304934726847
93,5.021127552,The Miracles,Ooo Baby Baby,1965,7102863,5611,239780,63,"soul, pop",0.8811913088106031
26,11.64441273,Gene Mcdaniels,A Hundred Pounds Of Clay,1961,213849,909,925,29,soul,0.45145004037299863
27,11.35794904,Dick and Dee Dee,The Mountain's High,1961,17863,1038,179,16,rock and roll,-1.0638981880963172
84,5.370017132,Dick and Dee Dee,Tell Me,1962,12985,1038,179,16,,-1.5086175585716717
29,10.83471074,Floyd Cramer,On The Rebound,1961,660129,964,5198,40,"folk, world, country",0.7305052235179179
88,5.207645782,Floyd Cramer,San Antonio Rose,1961,312830,964,5198,40,,-0.016270134948582538
31,10.36815025,Gary U.S. Bonds,Quarter To Three,1961,202618,753,3184,35,doo-wop,-0.10831496560204634
54,7.188199442999999,Gary U.S. Bonds,School Is Out,1961,29725,753,3184,35,,-2.0276489559081075
32,10.15315495,Gary U.S. Bonds,Dear Lady Twist,1962,24726,753,3184,35,,-2.3375647580235377
88,5.207645782,Gary U.S. Bonds,"Twist, Twist Senora",1962,51794,753,3184,35,,-1.5981457671674928
32,10.15315495,Barry Mann,"Who Put The Bomp (In The Bomp, Bomp, Bomp)",1961,664163,737,1246,35,"doo-wop, bubblegum pop (sugaryline version)",1.18291665057437
34,9.754924552,Chris Kenner,I Like It Like That,1961,739901,391,797,28,,1.7299304138520508
35,9.570069477999999,Jorgen Ingmann,Apache,1961,148229,524,258,18,,0.8598629265084927
36,9.393779234,Linda Scott,Don't Bet Money Honey,1961,1728,577,1343,29,pop,-4.4297250586101145
74,5.838577711,Linda Scott,I've Told Every Little Star,1961,38588,577,1343,29,pop,-1.3237483816836715
38,9.064478563,Ferlin Husky,Wings Of A Dove,1961,259282,1059,8417,39,country,-0.19381658487765385
40,8.762749681,Marcels,Blue Moon,1961,6629781,302,8111,47,,2.5151559575144145
41,8.621099442,Shep and The Limelites,Daddy's Home,1961,45157,511,281,15,r&b,-0.160131713647937
42,8.485070759,Troy Shondell,This Time,1961,28820,793,186,11,,-0.30346113493807003
43,8.35431448,"Clarence ""Frogman"" Henry",(I Don't Know Why) But I Do,1961,1646381,553,3594,39,"r&b, swamp pop, country",1.719658697360261
44,8.228510611,Kokomo,Asia Minor,1961,38898,438,1966,20,"rock, classical",-0.8331842860504608
45,8.107365283,Faron Young,Hello Walls,1961,1490230,1733,15508,44,country,1.210532201985183
46,7.990608097999999,Dion,Runaround Sue,1961,27540370,3245,941947,79,"doo-wop, rock and roll",1.6043445813493395
12,19.39725958,Dion,The Wanderer,1962,30747630,3245,941947,79,"rhythm and blues, pop, rock and roll",1.5887218901236366
67,6.234342105,Dion,Lovers Who Wander,1962,1642078,3245,941947,79,rock and roll,-1.3411285150408006
86,5.287264321,Dion,Little Diane,1962,191936,3245,941947,79,rock and roll,-3.487684323843464
40,8.762749681,Dion,Ruby Baby,1963,541039,3245,941947,79,,-2.577137623120528
86,5.287264321,Dion,Donna the Prima Donna,1963,723972,3245,941947,79,rock and roll,-2.285876270488618
47,7.877989792999999,Arthur Lyman,Yellow Bird,1961,261189,1800,2598,36,,0.14910847063655375
48,7.769280177000001,Timi Yuro,Hurt,1961,1033560,1329,5721,40,,1.1830298590783563
50,7.562750921,The Capris,There's A Moon Out Tonight,1961,977093,562,3207,34,,1.5103194367109136
