,Rank,RankPowerlaw,Artist,Title,Year,SpotifyPlayCount,WikiWordCount,Year_awards,Awards,Artist_award,awardscore
305,6,30.6492728,Tommy Roe,Dizzy,1969,2289433,711,,,,
283,96,4.917008807,Dee Dee Sharp,Do the Bird,1963,54532,557,,,,
521,15,16.74093727,Manfred Mann,Do Wah Diddy Diddy,1964,12837467,1907,,,,
701,89,5.168953147,The Lovin' Spoonful,Do You Believe in Magic,1965,13364245,2804,,,,
547,88,5.207645782,Dionne Warwick,Do You Know The Way To San Jose,1968,3349983,7251,,,,
530,91,5.093692001,The Dave Clark Five,Do You Love Me,1964,5876,1911,,,,
484,55,7.101672245,The Beatles,Do You Want to Know a Secret,1964,8066285,14112,,,,
992,47,7.877989793,Watts 103rd Street Rhythm Band,Do Your Thing,1969,400774,1504,,,,
272,79,5.59198657,Lonnie Donegan,Does Your Chewing Gum Lose Its Flavour (On The Bedpost Overnight),1961,203528,2450,,,,
105,95,4.951108236,Jackie Wilson,Doggin' Around,1960,449692,4542,,,,
243,86,5.287264321,Dion,Donna the Prima Donna,1963,723972,3245,,,,
229,36,9.393779234,Linda Scott,Don't Bet Money Honey,1961,1728,577,,,,
49,31,10.36815025,Connie Francis,Don't Break The Heart That Loves You,1962,259505,4607,,,,
698,77,5.687430745,Patty Duke,Don't Just Stand There,1965,60509,2415,,,,
538,32,10.15315495,The Serendipity Singers,Don't Let the Rain Come Down (Crooked Little Man),1964,32585,2064,,,,
562,49,7.664266318,Gerry and the Pacemakers,Don't Let the Sun Catch You Crying,1964,1030679,954,,,,
787,74,5.838577711,Marvelettes,Don't Mess With Bill,1966,704329,3009,,,,
468,79,5.59198657,The Cookies,Don't Say Nothin' Bad (About My Baby),1963,127042,643,,,,
