,Rank,RankPowerlaw,Artist_x,Title,Year_x,SpotifyPlayCount,WikiWordCount,GrammyAwards,Year_y,Awards,Artist_y
142,78,5.63920084,Bobby Vee,The Night Has a Thousand Eyes,1963,2254109,1614,,,,
143,60,6.705330284,The Four Preps,Down By The Station,1960,23715,951,,,,
144,98,4.850547815,The Four Preps,More Money For You And Me,1961,7549,951,,,,
145,61,6.632577127,The Little Dippers,Forever,1960,40043,193,,,,
146,62,6.561777272,The Safaris,Image Of A Girl,1960,83982,125,,,,
147,63,6.49284802,Brook Benton,Kiddio,1960,213883,708,,,,
148,25,11.94977132,Brook Benton,The Boll Weevil Song,1961,48225,708,,,,
149,78,5.63920084,Brook Benton,Think Twice,1961,62191,708,,,,
150,64,6.425711417,Donnie Brooks,Mission Bell,1960,80369,607,,,,
151,67,6.234342105,Ray Peterson,Tell Laura I Love Her,1960,1317706,527,,,,
152,90,5.130975533,Ray Peterson,Missing You,1961,36663,527,,,,
153,72,5.945119004,Fats Domino,Walking To New Orleans,1960,1725415,3326,,,,
154,82,5.456106733,Fats Domino,Let The Four Winds Blow,1961,346731,3326,,,,
155,76,5.736711756,Neil Sedaka,Stairway To Heaven,1960,780214,7962,,,,
156,33,9.949031357,Neil Sedaka,Calendar Girl,1961,6665463,7962,,,,
157,15,16.74093727,Neil Sedaka,Breaking Up Is Hard To Do,1962,6350083,7962,,,,
158,78,5.63920084,Ray Charles,Georgia On My Mind,1960,203180,6315,,,,
160,60,6.705330284,Ray Charles,One Mint Julep,1961,333918,6315,,,,
161,54,7.188199443,Ray Charles,You Don't Know Me,1962,5666493,6315,,,,
162,80,5.545754095,Ray Charles,Here We Go Again,1967,10222548,6315,,,,
163,79,5.59198657,Skip and Flip,Cherry Pie,1960,21703,429,,,,
164,82,5.456106733,Lloyd Price,Lady Luck,1960,447560,1034,,,,
165,83,5.412631479,The Crests,Step By Step,1960,160505,1838,,,,
166,84,5.370017132,Paul Evans,Happy-Go-Lucky Me,1960,315970,336,,,,
167,85,5.328236693,Ricky Nelson,Young Emotions,1960,197454,4885,,,,
168,23,12.62582101,Ricky Nelson,Travelin' Man,1961,3426713,4885,,,,
169,49,7.664266318,Ricky Nelson,Hello Mary Lou,1961,5626492,4885,,,,
170,43,8.35431448,Ricky Nelson,Young World,1962,347455,4885,,,,
171,77,5.687430745,Ricky Nelson,Teen Age Idol,1962,410663,4885,,,,
172,61,6.632577127,Ricky Nelson,Fools Rush In,1963,528037,4885,,,,
174,86,5.287264321,Johnny Burnette,Dreamin',1960,9887,2915,,,,
175,87,5.247075258,Johnny Tillotson,Poetry In Motion,1960,2176650,1278,,,,
